SPECTRUM - MS,
VI-143.raw,
FTMS + p ESI Full ms [200.00-3000.00],
Scan #: 17-31,
RT: 0.30-0.56,
AV: 15,
SB: 19  0.01-0.34 ,
Data points: 67852,
Mass,Intensity
204.159664,210.311162
204.160215,158.663253
204.160765,87.609905
204.161316,63.13966
204.161867,3.465007
204.162418,0.000102
204.162969,0
204.16352,0
204.164071,0
204.164621,0
204.198229,0
204.19878,0
204.199331,0
204.199882,0
204.200433,17.142387
204.200984,36.574949
204.201535,44.565199
204.202086,47.803234
204.202637,42.395995
204.203188,17.37068
204.203739,0.000517
204.20429,0
204.204841,0
204.205392,0
204.205943,0
204.291382,0
204.291933,0
204.292485,0
204.293036,0
204.293587,12.883896
204.294139,40.451442
204.29469,51.394876
204.295242,52.062279
204.295793,42.313705
204.296345,20.537948
204.296896,0.000625
204.297447,0
204.297999,0
204.29855,0
204.299102,0
204.432611,0
204.433163,0
204.433715,0
204.434267,0
204.434819,12.429767
204.435371,31.425095
204.435923,43.393995
204.436474,46.786939
204.437026,37.906726
204.437578,14.296332
204.43813,0.000449
204.438682,0
204.439234,0
204.439786,0
204.440338,0
204.602721,0
204.603273,0
204.603826,0
204.604379,0
204.604931,2.416198
204.605484,7.345559
204.606037,9.270379
204.606589,10.651803
204.607142,10.436819
204.607695,7.995537
204.608247,3.570527
204.6088,0
204.609353,0
204.609905,0
204.610458,0
204.76087,0
204.761424,0
204.761977,0
204.76253,0
204.763083,10.30669
204.763637,32.348735
204.76419,42.114806
204.764743,45.221183
204.765297,39.499842
204.76585,21.024259
204.766403,0.000708
204.766957,0
204.76751,0
204.768063,0
204.768617,0
204.787984,0
204.788538,0
204.789091,0
204.789644,0
204.790198,10.869066
204.790751,33.821918
204.791305,44.489479
204.791858,49.924111
204.792411,42.48568
204.792965,19.981869
204.793518,0.000677
204.794072,0
204.794625,0
204.795179,0
204.795732,0
205.042232,0
205.042786,0
205.043341,0
205.043895,0
205.044449,11.597441
205.045004,34.62029
205.045558,43.422713
205.046113,50.943532
205.046667,48.567434
205.047222,32.713642
205.047776,11.312625
205.048331,0.000403
205.048885,0
205.049439,0
205.049994,0
205.050548,0
205.081047,0
205.081602,0
205.082157,0
205.082711,0
205.083266,11.56096
205.08382,0
205.084375,0
205.08493,0
